,RFE
0,AATS8p
1,AATS8v
2,AATSC0d
3,AATSC0s
4,AATSC1c
5,AATSC1i
6,AATSC4c
7,AATSC4i
8,AATSC6dv
9,AATSC8i
10,AETA_eta_BR
11,ATS5p
12,ATSC1c
13,ATSC1i
14,ATSC1se
15,ATSC1v
16,ATSC2Z
17,ATSC2s
18,ATSC4c
19,ATSC4se
20,ATSC6are
21,ATSC8c
22,ATSC8d
23,BCUTd-1l
24,BIC5
25,CIC5
26,EState_VSA1
27,FCSP3
28,GATS1i
29,GATS3s
30,GATS3se
31,GATS4s
32,GATS6se
33,GGI10
34,GGI5
35,GGI8
36,HybRatio
37,JGI5
38,JGI9
39,MATS1i
40,MATS1se
41,MATS1v
42,MATS3s
43,MATS4se
44,MAXaaNH
45,MAXdsCH
46,MDEN-22
47,NaaN
48,NaaNH
49,PEOE_VSA1
50,PEOE_VSA2
51,PEOE_VSA9
52,SIC5
53,SaaN
54,SaaNH
55,SssSiH2
56,Xch-7d
57,nFARing
58,nG12FHRing
59,nHBDon
